sample_id,filename,label,ae_score,rule_score,rule_fallback_decision,gan_score,gan_threshold,gan_decision,comparison
generated_03_valid_meeting_note,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_meeting_note.json,valid,1.281612,0.162524,pass,1.311346,formal_1.0,reject,rule_pass_gan_reject
generated_03_valid_meeting_note,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_meeting_note.json,valid,1.281612,0.162524,pass,1.311346,recommended_1.2,reject,rule_pass_gan_reject
generated_04_valid_notice_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_notice_summary.json,valid,1.264120,0.161191,pass,1.154121,formal_1.0,reject,rule_pass_gan_reject
generated_04_valid_notice_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_notice_summary.json,valid,1.264120,0.161191,pass,1.154121,recommended_1.2,pass,same_decision
generated_05_valid_office_notice_weekly,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_office_notice_weekly.json,valid,1.428860,0.164934,pass,1.008520,formal_1.0,reject,rule_pass_gan_reject
generated_05_valid_office_notice_weekly,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_office_notice_weekly.json,valid,1.428860,0.164934,pass,1.008520,recommended_1.2,pass,same_decision
generated_06_valid_office_notice_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_office_notice_summary.json,valid,1.164434,0.162268,pass,0.921940,formal_1.0,pass,same_decision
generated_06_valid_office_notice_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_office_notice_summary.json,valid,1.164434,0.162268,pass,0.921940,recommended_1.2,pass,same_decision
generated_07_valid_draft_weekly,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_draft_weekly.json,valid,1.179263,0.163738,pass,1.094274,formal_1.0,reject,rule_pass_gan_reject
generated_07_valid_draft_weekly,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_draft_weekly.json,valid,1.179263,0.163738,pass,1.094274,recommended_1.2,pass,same_decision
generated_08_valid_draft_published_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_draft_published_summary.json,valid,1.010472,0.162507,pass,0.936582,formal_1.0,pass,same_decision
generated_08_valid_draft_published_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_draft_published_summary.json,valid,1.010472,0.162507,pass,0.936582,recommended_1.2,pass,same_decision
generated_09_valid_archived_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_archived_summary.json,valid,1.117394,0.163823,pass,1.096111,formal_1.0,reject,rule_pass_gan_reject
generated_09_valid_archived_summary,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_archived_summary.json,valid,1.117394,0.163823,pass,1.096111,recommended_1.2,pass,same_decision
generated_10_valid_full_weekly_plan,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_full_weekly_plan.json,valid,0.976624,0.166147,pass,1.180423,formal_1.0,reject,rule_pass_gan_reject
generated_10_valid_full_weekly_plan,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/valid_full_weekly_plan.json,valid,0.976624,0.166147,pass,1.180423,recommended_1.2,pass,same_decision
generated_11_invalid_doc_status_string,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_string.json,invalid,0.897455,0.164456,pass,1.056283,formal_1.0,reject,rule_pass_gan_reject
generated_11_invalid_doc_status_string,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_string.json,invalid,0.897455,0.164456,pass,1.056283,recommended_1.2,pass,same_decision
generated_12_invalid_doc_status_number,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_number.json,invalid,1.155686,0.163977,pass,1.307698,formal_1.0,reject,rule_pass_gan_reject
generated_12_invalid_doc_status_number,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_number.json,invalid,1.155686,0.163977,pass,1.307698,recommended_1.2,reject,rule_pass_gan_reject
generated_13_invalid_doc_status_object,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_object.json,invalid,0.847646,0.170146,pass,0.939375,formal_1.0,pass,same_decision
generated_13_invalid_doc_status_object,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_object.json,invalid,0.847646,0.170146,pass,0.939375,recommended_1.2,pass,same_decision
generated_14_invalid_doc_status_null,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_null.json,invalid,1.150146,0.164097,pass,1.301633,formal_1.0,reject,rule_pass_gan_reject
generated_14_invalid_doc_status_null,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_null.json,invalid,1.150146,0.164097,pass,1.301633,recommended_1.2,reject,rule_pass_gan_reject
generated_15_invalid_doc_status_bool,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_bool.json,invalid,1.159297,0.164097,pass,1.283811,formal_1.0,reject,rule_pass_gan_reject
generated_15_invalid_doc_status_bool,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_doc_status_bool.json,invalid,1.159297,0.164097,pass,1.283811,recommended_1.2,reject,rule_pass_gan_reject
generated_16_invalid_missing_doc_status_tag,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_missing_doc_status_tag.json,invalid,1.052813,0.162781,pass,1.115575,formal_1.0,reject,rule_pass_gan_reject
generated_16_invalid_missing_doc_status_tag,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_missing_doc_status_tag.json,invalid,1.052813,0.162781,pass,1.115575,recommended_1.2,pass,same_decision
generated_17_invalid_missing_doc_status_symbol_tag,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_missing_doc_status_symbol_tag.json,invalid,1.043320,0.162900,pass,1.112684,formal_1.0,reject,rule_pass_gan_reject
generated_17_invalid_missing_doc_status_symbol_tag,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/invalid_missing_doc_status_symbol_tag.json,invalid,1.043320,0.162900,pass,1.112684,recommended_1.2,pass,same_decision
generated_18_uncertain_tag_review_page,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_tag_review_page.json,uncertain,1.079964,0.175479,pass,0.994180,formal_1.0,pass,same_decision
generated_18_uncertain_tag_review_page,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_tag_review_page.json,uncertain,1.079964,0.175479,pass,0.994180,recommended_1.2,pass,same_decision
generated_19_uncertain_filter_owner,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_filter_owner.json,uncertain,1.169483,0.175957,pass,1.050192,formal_1.0,reject,rule_pass_gan_reject
generated_19_uncertain_filter_owner,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_filter_owner.json,uncertain,1.169483,0.175957,pass,1.050192,recommended_1.2,pass,same_decision
generated_20_uncertain_sort_clause,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_sort_clause.json,uncertain,1.157061,0.171223,pass,1.102640,formal_1.0,reject,rule_pass_gan_reject
generated_20_uncertain_sort_clause,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_sort_clause.json,uncertain,1.157061,0.171223,pass,1.102640,recommended_1.2,pass,same_decision
generated_21_uncertain_extra_list,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_extra_list.json,uncertain,0.906157,0.171582,pass,0.840093,formal_1.0,pass,same_decision
generated_21_uncertain_extra_list,docs/review/evidence/o2oa_dynamic_redundancy/gan_threshold_calibration/generated_samples/uncertain_extra_list.json,uncertain,0.906157,0.171582,pass,0.840093,recommended_1.2,pass,same_decision
