sample_id,source,filename,label,label_reason,expected_http_class,ae_score,ae_score_error,in_grey,rule_score,rule_decision,stage,second_stage_source,http_code,http_class,match_label
flowable_rule_013,v2,in/flowable_process_start_dataset_v2/seed_bad_16.json,invalid,缺少 employee 或 nrOfHolidays 变量,4xx_or_5xx,4.430036,,no,0.226543,pass,second_pass,local_rule,201,2xx,no
flowable_rule_014,v2,in/flowable_process_start_dataset_v2/seed_bad_17.json,invalid,processDefinitionKey 非预期值,4xx_or_5xx,4.000852,,no,0.226064,pass,second_pass,local_rule,400,4xx,yes
flowable_rule_015,v2,in/flowable_process_start_dataset_v2/seed_bad_19.json,invalid,variables 不是数组,4xx_or_5xx,13.787016,,no,0.116040,pass,second_pass,local_rule,400,4xx,yes
flowable_rule_016,v2,in/flowable_process_start_dataset_v2/seed_bad_2.json,invalid,processDefinitionKey 非预期值,4xx_or_5xx,23.997225,,no,0.107119,pass,second_pass,local_rule,400,4xx,yes
flowable_rule_017,v2,in/flowable_process_start_dataset_v2/seed_bad_3.json,invalid,缺少 employee 或 nrOfHolidays 变量,4xx_or_5xx,15.602243,,no,0.113887,pass,second_pass,local_rule,201,2xx,no
flowable_rule_018,v2,in/flowable_process_start_dataset_v2/seed_bad_4.json,invalid,variables 不是数组,4xx_or_5xx,15.604316,,no,0.113887,pass,second_pass,local_rule,400,4xx,yes
flowable_rule_019,v2,in/flowable_process_start_dataset_v2/seed_bad_6.json,invalid,variables 中缺少 value,4xx_or_5xx,1.012293,,no,0.220852,pass,second_pass,local_rule,201,2xx,no
flowable_rule_020,v2,in/flowable_process_start_dataset_v2/seed_bad_7.json,invalid,缺少 processDefinitionKey,4xx_or_5xx,0.612884,,no,0.213965,pass,second_pass,local_rule,400,4xx,yes
flowable_rule_021,v2,in/flowable_process_start_dataset_v2/seed_border_0.json,uncertain,边界样本，缺少人工真值，不做强判,unknown,3.911855,,no,0.226543,pass,second_pass,local_rule,201,2xx,
flowable_rule_022,v2,in/flowable_process_start_dataset_v2/seed_border_1.json,uncertain,边界样本，缺少人工真值，不做强判,unknown,4.141546,,no,0.226663,pass,second_pass,local_rule,201,2xx,
flowable_rule_023,v2,in/flowable_process_start_dataset_v2/seed_border_2.json,uncertain,边界样本，缺少人工真值，不做强判,unknown,10.547259,,no,0.226663,pass,second_pass,local_rule,201,2xx,
flowable_rule_024,v2,in/flowable_process_start_dataset_v2/seed_border_3.json,uncertain,边界样本，缺少人工真值，不做强判,unknown,4.879359,,no,0.227261,pass,second_pass,local_rule,201,2xx,
flowable_rule_025,v2,in/flowable_process_start_dataset_v2/seed_border_4.json,uncertain,边界样本，缺少人工真值，不做强判,unknown,4.874030,,no,0.227500,pass,second_pass,local_rule,201,2xx,
flowable_rule_026,v2,in/flowable_process_start_dataset_v2/seed_border_5.json,uncertain,边界样本，缺少人工真值，不做强判,unknown,5.147357,,no,0.227739,pass,second_pass,local_rule,201,2xx,
flowable_rule_027,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_empty_json.json,invalid,空 JSON，缺少 Flowable process start 必需字段,4xx,75.145432,,no,0.043989,pass,second_pass,local_rule,400,4xx,yes
flowable_rule_028,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_missing_processDefinitionKey.json,invalid,缺少 processDefinitionKey,4xx,0.474878,,no,0.217109,pass,second_pass,local_rule,400,4xx,yes
flowable_rule_029,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_unknown_processDefinitionKey.json,invalid,processDefinitionKey 不存在,4xx,18.561314,,no,0.239172,pass,second_pass,local_rule,400,4xx,yes
flowable_rule_030,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_variables_not_array.json,invalid,variables 不是数组,4xx,2.712832,,no,0.169856,pass,second_pass,local_rule,400,4xx,yes
flowable_rule_031,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_variable_missing_name.json,invalid,variables 中缺少 name,4xx,3.730270,,no,0.207317,pass,second_pass,local_rule,400,4xx,yes
flowable_rule_032,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_variable_value_type_abnormal.json,invalid,variables 中 value 类型异常,4xx,19.079100,,no,0.277419,pass,second_pass,local_rule,201,2xx,no
flowable_rule_033,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_json_structure_damaged.json,invalid,JSON 结构损坏,4xx,NA,ValueError,no,1.200000,reject,second_reject,local_rule,400,4xx,yes
flowable_rule_034,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_overlong_field.json,invalid,超长字段,4xx_or_5xx,2997155.000000,,no,0.971250,pass,second_pass,local_rule,201,2xx,no
flowable_rule_035,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_illegal_nested_fields.json,invalid,非法字段嵌套,4xx,222.467819,,no,0.454316,pass,second_pass,local_rule,201,2xx,no
flowable_rule_036,generated,docs/review/evidence/flowable_dynamic_redundancy/rule_calibration/generated_samples/generated_many_variables.json,invalid,变量数组和字段数量异常放大,4xx_or_5xx,40519.585938,,no,0.750056,pass,second_pass,local_rule,201,2xx,no
